Id,Gen_sp,Habitat,Plot,Flower_density,Flower_species,Start_time,Finish_time,Date,Site,Corridor,Notes,Round,Highest_temp,Lowest_temperature
39,Bombus_pascuorum,Maintained_roadside,8,1-5%,Trifolium_pratense,15:35,15:50,11/07/14,Fresta,Yes,NA,1,21,9
40,Bombus_terrestris,Corridor,9,61%_plus,Filipendula_ulmaria,16:35,16:55,11/07/14,Fresta,Yes,NA,1,21,9
41,Bombus_terrestris,Non_flowering_crop_edge,10,21-40%,Trifolium_pratense,17:00,17:25,11/07/14,Fresta,Yes,NA,1,21,9
42,Bombus_terrestris,Non_flowering_crop_edge,10,21-40%,Trifolium_pratense,17:00,17:25,11/07/14,Fresta,Yes,NA,1,21,9
43,Bombus_terrestris,Non_flowering_crop_edge,10,21-40%,Trifolium_pratense,17:00,17:25,11/07/14,Fresta,Yes,NA,1,21,9
44,Bombus_terrestris,Non_flowering_crop_edge,10,21-40%,Trifolium_pratense,17:00,17:25,11/07/14,Fresta,Yes,NA,1,21,9
45,Bombus_terrestris,Non_flowering_crop_edge,10,21-40%,Trifolium_pratense,17:00,17:25,11/07/14,Fresta,Yes,NA,1,21,9
46,Bombus_pascuorum,Non_flowering_crop_edge,1,21-40%,Trifolium_pratense,10:07,10:35,12/07/14,_ngeby,No,NA,1,22,8
47,Bombus_pascuorum,Non_flowering_crop_edge,1,21-40%,Trifolium_pratense,10:07,10:35,12/07/14,_ngeby,No,NA,1,22,8
48,Bombus_pascuorum,Non_flowering_crop_edge,1,21-40%,Trifolium_pratense,10:07,10:35,12/07/14,_ngeby,No,NA,1,22,8
49,Bombus_barbutellus,Non_flowering_crop_edge,1,21-40%,Trifolium_pratense,10:07,10:35,12/07/14,_ngeby,No,NA,1,22,8
50,Bombus_ruderarius,Non_flowering_crop_edge,1,21-40%,Trifolium_pratense,10:07,10:35,12/07/14,_ngeby,No,NA,1,22,8
51,Bombus_quadricolor,Semi_natural_grasslands,2,41-60%,Carduus_crispus,10:40,11:00,12/07/14,_ngeby,No,NA,1,22,8
52,Bombus_quadricolor,Semi_natural_grasslands,2,41-60%,Carduus_crispus,10:40,11:00,12/07/14,_ngeby,No,NA,1,22,8
53,Bombus_terrestris,Non_flowering_crop_edge,3,21-40%,Trifolium_pratense,11:07,11:30,12/07/14,_ngeby,No,NA,1,22,8
54,Bombus_hypnorum,Non_flowering_crop_edge,3,21-40%,Trifolium_pratense,11:07,11:30,12/07/14,_ngeby,No,NA,1,22,8
55,Bombus_soroeensis,Non_flowering_crop_edge,3,21-40%,Campanulaceae_rapunculoides,11:07,11:30,12/07/14,_ngeby,No,NA,1,22,8
56,Bombus_soroeensis,Forest,4,1-5%,Trifolium_pratense,11:45,12:05,12/07/14,_ngeby,No,"Full_canopy_closure,_rough_track",1,22,8
57,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
58,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
59,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
60,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
61,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
62,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
63,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
64,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
65,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
66,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
67,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
68,Bombus_terrestris,Maintained_roadside,5,41-60%,Campanulaceae_rapunculoides,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
69,Bombus_terrestris,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
70,Bombus_bohemicus,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
71,Bombus_bohemicus,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
72,Bombus_bohemicus,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
73,Bombus_bohemicus,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
74,Bombus_bohemicus,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
75,Bombus_bohemicus,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
76,Bombus_soroeensis,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
77,Bombus_humilis,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
78,Bombus_sylvestris,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
79,Bombus_bohemicus,Maintained_roadside,5,41-60%,Centaurea_jacea,12:25,13:00,12/07/14,_ngeby,No,NA,1,22,8
80,Bombus_ruderarius,Semi_natural_grasslands,6,61%_plus,Carduus_crispus,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
81,Bombus_ruderarius,Semi_natural_grasslands,6,61%_plus,Carduus_crispus,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
82,Bombus_ruderarius,Semi_natural_grasslands,6,61%_plus,Carduus_crispus,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
83,Bombus_pascuorum,Semi_natural_grasslands,6,61%_plus,Carduus_crispus,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
84,Bombus_pascuorum,Semi_natural_grasslands,6,61%_plus,Carduus_crispus,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
85,Bombus_terrestris,Semi_natural_grasslands,6,61%_plus,Filipendula_ulmaria,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
86,Bombus_terrestris,Semi_natural_grasslands,6,61%_plus,Filipendula_ulmaria,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
87,Bombus_pascuorum,Semi_natural_grasslands,6,61%_plus,Lathyrus_pratensis,13:40,14:10,12/07/14,_ngeby,No,NA,1,22,8
88,Bombus_pascuorum,Forest,7,1-5%,Trifolium_pratense,14:20,14:50,12/07/14,_ngeby,No,"20m_canopy_gap,_gravel_road",1,22,8
89,Bombus_pascuorum,Forest,7,1-5%,Trifolium_pratense,14:20,14:50,12/07/14,_ngeby,No,NA,1,22,8
90,Bombus_pratorum,Forest,7,1-5%,Trifolium_repens,14:20,14:50,12/07/14,_ngeby,No,NA,1,22,8
91,Bombus_pratorum,Forest,7,1-5%,Trifolium_repens,14:20,14:50,12/07/14,_ngeby,No,NA,1,22,8
92,Bombus_pratorum,Forest,7,1-5%,Trifolium_repens,14:20,14:50,12/07/14,_ngeby,No,NA,1,22,8
93,Bombus_pratorum,Forest,8,6-10%,Trifolium_medium,15:10,15:40,12/07/14,_ngeby,No,"30m_canopy_gap,_gravel_road",1,22,8
94,Bombus_pascuorum,Forest,8,6-10%,Trifolium_medium,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
95,Bombus_pascuorum,Forest,8,6-10%,Trifolium_medium,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
96,Bombus_pascuorum,Forest,8,6-10%,Trifolium_pratense,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
97,Bombus_pascuorum,Forest,8,6-10%,Trifolium_pratense,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
98,Bombus_pascuorum,Forest,8,6-10%,Trifolium_pratense,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
99,Bombus_pascuorum,Forest,8,6-10%,Prunella_vulgaris,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
100,Bombus_pascuorum,Forest,8,6-10%,Prunella_vulgaris,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
101,Bombus_pascuorum,Forest,8,6-10%,Prunella_vulgaris,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
102,Bombus_pascuorum,Forest,8,6-10%,Prunella_vulgaris,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
103,Bombus_bohemicus,Forest,8,6-10%,Prunella_vulgaris,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
104,Bombus_pascuorum,Forest,8,6-10%,Trifolium_repens,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
105,Bombus_pascuorum,Forest,8,6-10%,Trifolium_repens,15:10,15:40,12/07/14,_ngeby,No,NA,1,22,8
106,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
107,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
108,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
109,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
110,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
111,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
112,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
113,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
114,Bombus_pascuorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
115,Bombus_hortorum,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,,1,22,8
116,Bombus_quadricolor,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
117,Bombus_ruderarius,Forest_grassland_boundary,9,1-5%,Trifolium_pratense,15:55,16:40,12/07/14,_ngeby,No,NA,1,22,8
118,Bombus_pascuorum,Maintained_roadside,6,61%_plus,Trifolium_pratense,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
119,Bombus_sylvarum,Maintained_roadside,6,61%_plus,Trifolium_pratense,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
120,Bombus_sylvarum,Maintained_roadside,6,61%_plus,Trifolium_pratense,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
121,Bombus_terrestris,Maintained_roadside,6,61%_plus,Trifolium_pratense,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
122,Bombus_terrestris,Maintained_roadside,6,61%_plus,Trifolium_pratense,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
123,Bombus_ruderarius,Maintained_roadside,6,61%_plus,Trifolium_pratense,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
124,Bombus_spp,Maintained_roadside,6,61%_plus,Lathyrus_pratensis,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
125,Bombus_spp,Maintained_roadside,6,61%_plus,Lathyrus_pratensis,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
126,Bombus_terrestris,Maintained_roadside,6,61%_plus,Centaurea_cyanus,10:50,11:20,15/07/14,G?vsta,Yes,NA,1,24,14
127,Bombus_hortorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
128,Bombus_spp,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
129,Bombus_spp,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
130,Bombus_spp,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
131,Bombus_spp,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
132,Bombus_pascuorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
133,Bombus_pascuorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
134,Bombus_pascuorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
135,Bombus_pascuorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
136,Bombus_pascuorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
137,Bombus_pascuorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
138,Bombus_subterraneus,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
139,Bombus_sylvarum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
140,Bombus_hortorum,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
141,Bombus_terrestris,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
142,Bombus_soroeensis,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
143,Bombus_subterraneus,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
144,Bombus_ruderarius,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
145,Bombus_ruderarius,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
146,Bombus_ruderarius,Maintained_roadside,7,61%_plus,Trifolium_pratense,11:30,13:10,15/07/14,G?vsta,Yes,Stopped_by_rain_at_11:40_started_again_at_12:50,1,24,14
148,Bombus_pratorum,Corridor,5,61%_plus,Filipendula_ulmaria,14:05,14:30,15/07/14,G?vsta,Yes,NA,1,24,14
149,Bombus_hypnorum,Corridor,5,61%_plus,Filipendula_ulmaria,14:05,14:30,15/07/14,G?vsta,Yes,NA,1,24,14
150,Bombus_pascuorum,Corridor,5,61%_plus,Carduus_crispus,14:05,14:30,15/07/14,G?vsta,Yes,NA,1,24,14
151,Bombus_pascuorum,Corridor,5,61%_plus,Lythranceae_salcaria,14:05,14:30,15/07/14,G?vsta,Yes,NA,1,24,14
152,Bombus_terrestris,Corridor,5,61%_plus,Lythranceae_salcaria,14:05,14:30,15/07/14,G?vsta,Yes,NA,1,24,14
153,Bombus_spp,Corridor,5,61%_plus,Lythranceae_salcaria,14:05,14:30,15/07/14,G?vsta,Yes,NA,1,24,14
154,Bombus_spp,Corridor,5,61%_plus,Lythranceae_salcaria,14:05,14:30,15/07/14,G?vsta,Yes,NA,1,24,14
155,Bombus_pascuorum,Corridor,5,61%_plus,Trifolium_pratense,14:30,14:50,15/07/14,G?vsta,Yes,NA,1,24,14
156,Bombus_pascuorum,Corridor,5,61%_plus,Trifolium_pratense,14:30,14:50,15/07/14,G?vsta,Yes,NA,1,24,14
157,Bombus_pascuorum,Corridor,5,61%_plus,Trifolium_pratense,14:30,14:50,15/07/14,G?vsta,Yes,NA,1,24,14
158,Bombus_pascuorum,Corridor,5,61%_plus,Filipendula_ulmaria,14:30,14:50,15/07/14,G?vsta,Yes,NA,1,24,14
159,Bombus_terrestris,Corridor,5,61%_plus,Filipendula_ulmaria,14:30,14:50,15/07/14,G?vsta,Yes,NA,1,24,14
160,Bombus_spp,Corridor,5,61%_plus,Carduus_crispus,14:30,14:50,15/07/14,G?vsta,Yes,NA,1,24,14
161,Bombus_pascuorum,Corridor,5,61%_plus,Carduus_crispus,14:30,14:50,15/07/14,G?vsta,Yes,NA,1,24,14
162,Bombus_pascuorum,Semi_natural_grasslands,2,1-5%,Trifolium_pratense,15:00,15:20,15/07/14,G?vsta,Yes,NA,1,24,14
163,Bombus_spp,Forest_grassland_boundary,1,41-60%,Centaurea_cyanus,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
164,Bombus_pascuorum,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
165,Bombus_pascuorum,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
166,Bombus_pascuorum,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
167,Bombus_pascuorum,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
168,Bombus_pascuorum,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
169,Bombus_hortorum,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
170,Bombus_hortorum,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
171,Bombus_terrestris,Forest_grassland_boundary,1,41-60%,Trifolium_pratense,10:00,10:23,17/07/14,Forsby,No,NA,1,26,14
172,Bombus_spp,Maintained_roadside,2,41-60%,Centaurea_cyanus,10:30,10:50,17/07/14,Forsby,No,NA,1,26,14
173,Bombus_hypnorum,Maintained_roadside,2,41-60%,Centaurea_cyanus,10:30,10:50,17/07/14,Forsby,No,NA,1,26,14
174,Bombus_pascuorum,Maintained_roadside,2,41-60%,Trifolium_pratense,10:30,10:50,17/07/14,Forsby,No,NA,1,26,14
175,Bombus_pascuorum,Maintained_roadside,2,41-60%,Trifolium_pratense,10:30,10:50,17/07/14,Forsby,No,NA,1,26,14
176,Bombus_pratorum,Maintained_roadside,2,41-60%,Cirsium_arvense,10:30,10:50,17/07/14,Forsby,No,,1,26,14
177,Bombus_pascuorum,Maintained_roadside,2,41-60%,Cirsium_arvense,10:30,10:50,17/07/14,Forsby,No,NA,1,26,14
178,Bombus_pascuorum,Non_flowering_crop_edge,3,41-60%,Trifolium_pratense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
179,Bombus_pascuorum,Non_flowering_crop_edge,3,41-60%,Trifolium_pratense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
180,Bombus_pascuorum,Non_flowering_crop_edge,3,41-60%,Trifolium_pratense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
181,Bombus_pratorum,Non_flowering_crop_edge,3,41-60%,Cirsium_arvense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
182,Bombus_pratorum,Non_flowering_crop_edge,3,41-60%,Cirsium_arvense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
183,Bombus_spp,Non_flowering_crop_edge,3,41-60%,Cirsium_arvense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
184,Bombus_rupestris,Non_flowering_crop_edge,3,41-60%,Cirsium_arvense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
185,Bombus_pascuorum,Non_flowering_crop_edge,3,41-60%,Cirsium_arvense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
186,Bombus_pascuorum,Non_flowering_crop_edge,3,41-60%,Cirsium_arvense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
187,Bombus_pascuorum,Non_flowering_crop_edge,3,41-60%,Cirsium_arvense,11:10,11:45,17/07/14,Forsby,No,NA,1,26,14
188,Bombus_subterraneus,Semi_natural_grasslands,4,6-10%,Cirsium_arvense,12:05,12:30,17/07/14,Forsby,No,NA,1,26,14
189,Bombus_pascuorum,Semi_natural_grasslands,4,6-10%,Trifolium_pratense,12:05,12:30,17/07/14,Forsby,No,NA,1,26,14
190,Bombus_pascuorum,Semi_natural_grasslands,4,6-10%,Trifolium_pratense,12:05,12:30,17/07/14,Forsby,No,NA,1,26,14
191,Bombus_pascuorum,Semi_natural_grasslands,4,6-10%,Trifolium_pratense,12:05,12:30,17/07/14,Forsby,No,NA,1,26,14
