Id,Gen_sp,Habitat,Plot,Flower_density,Flower_species,Start_time,Finish_time,Date,Site,Corridor,Notes,Round,Highest_temp,Lowest_temperature
1,Bombus_spp,Semi_natural_grasslands,1,61%_plus,Cirsium_arvense,13:40,14:00,15/07/14,G?vsta,Yes,NA,1,24,14
3,Bombus_terrestris,Corridor,4,1-5%,Filipendula_ulmaria,13:10,13:30,09/07/14,G?vsta,Yes,NA,1,28,15
4,Bombus_terrestris,Forest,8,Trace,Carduus_crispus,13:55,14:15,09/07/14,G?vsta,Yes,Areas_of_10_metre_canopy_gap._Not_repeated_in_round_2,1,28,15
8,Bombus_spp,Non_flowering_crop_edge,9,Trace,Trifolium_pratense,15:35,15:55,09/07/14,G?vsta,Yes,NA,1,28,15
8,Bombus_spp,Non_flowering_crop_edge,9,Trace,Trifolium_pratense,15:35,15:55,09/07/14,G?vsta,Yes,NA,1,28,15
9,Bombus_sylvestris,Corridor,1,11-20%,Carduus_crispus,11:05,11:20,10/07/14,Stavby,Yes,Note_transects_1_and_3_were_done_along_exactly_same_line,1,29,14
12,Bombus_bohemicus,Corridor,4,11-20%,Carduus_crispus,12:20,12:35,10/07/14,Stavby,Yes,Note_transects_1_and_3_were_done_along_exactly_same_line,1,29,14
13,Bombus_hypnorum,Corridor,4,11-20%,Carduus_crispus,12:20,12:35,10/07/14,Stavby,Yes,Note_transects_1_and_3_were_done_along_exactly_same_line,1,29,14
14,Bombus_terrestris,Corridor,4,11-20%,Carduus_crispus,12:20,12:35,10/07/14,Stavby,Yes,Note_transects_1_and_3_were_done_along_exactly_same_line,1,29,14
15,Bombus_terrestris,Corridor,5,1-5%,Lythranceae_salcaria,13:50,14:07,10/07/14,Stavby,Yes,NA,1,29,14
16,Bombus_pratorum,Corridor,5,1-5%,Lythranceae_salcaria,13:50,14:07,10/07/14,Stavby,Yes,NA,1,29,14
17,Bombus_hypnorum,Forest_grassland_boundary,6,1-5%,Trifolium_pratense,14:55,15:12,10/07/14,Stavby,Yes,Transect_site_by_3_pylon_left_hand_side_on_well_formed_gravel_raod_on_western_side_near_hut,1,29,14
19,Bombus_terrestris,Corridor,7,11-20%,Carduus_crispus,16:15,16:35,10/07/14,Stavby,Yes,Transect_site_perpendicular_to_1_&_3,1,29,14
20,Bombus_rupestris,Corridor,7,11-20%,Carduus_crispus,16:15,16:35,10/07/14,Stavby,Yes,NA,1,29,14
21,NA,Non_flowering_crop_edge,2,6-10%,NA,16:40,16:55,10/07/14,Stavby,Yes,NA,1,29,14
22,Bombus_terrestris,Non_flowering_crop_edge,3,11-20%,Filipendula_ulmaria,17:00,17:20,10/07/14,Stavby,Yes,NA,1,29,14
23,Bombus_spp,Non_flowering_crop_edge,3,11-20%,Filipendula_ulmaria,17:00,17:20,10/07/14,Stavby,Yes,NA,1,29,14
24,Bombus_terrestris,Corridor,1,1-5%,Lythranceae_salcaria,11:10,11:30,11/07/14,Fresta,Yes,NA,1,21,9
25,Bombus_terrestris,Corridor,1,1-5%,Lythranceae_salcaria,11:10,11:30,11/07/14,Fresta,Yes,NA,1,21,9
26,Bombus_pascuorum,Corridor,1,1-5%,Lythranceae_salcaria,11:10,11:30,11/07/14,Fresta,Yes,NA,1,21,9
27,Bombus_muscorum,Corridor,1,1-5%,Lythranceae_salcaria,11:10,11:30,11/07/14,Fresta,Yes,NA,1,21,9
28,Bombus_pratorum,Corridor,2,1-5%,Lythranceae_salcaria,11:35,11:52,11/07/14,Fresta,Yes,NA,1,21,9
29,NA,Corridor,3,1-5%,NA,12:35,12:55,11/07/14,Fresta,Yes,Just_south_of_3rd_tower_in_eastern_row_(third_from_transect_1&2),1,21,9
30,NA,Non_flowering_crop_edge,4,1-5%,NA,13:40,13:55,11/07/14,Fresta,Yes,NA,1,21,9
31,Bombus_spp,Non_flowering_crop_edge,5,1-5%,Satureja_vulgaris,14:00,14:18,11/07/14,Fresta,Yes,NA,1,21,9
32,Bombus_barbutellus,Non_flowering_crop_edge,5,1-5%,Satureja_vulgaris,14:00,14:18,11/07/14,Fresta,Yes,NA,1,21,9
33,Bombus_norvegicus,Forest,6,1-5%,Carduus_crispus,14:30,14:50,11/07/14,Fresta,Yes,Areas_of_10_metre_canopy_gap,1,21,9
34,Bombus_quadricolor,Forest,6,1-5%,Carduus_crispus,14:30,14:50,11/07/14,Fresta,Yes,Areas_of_10_metre_canopy_gap,1,21,9
35,Bombus_spp,Forest,6,1-5%,Trifolium_pratense,14:30,14:50,11/07/14,Fresta,Yes,Areas_of_10_metre_canopy_gap,1,21,9
36,Bombus_pascuorum,Maintained_roadside,7,6-10%,Trifolium_pratense,15:08,15:28,11/07/14,Fresta,Yes,"As_roadsides_had_been_mown_and_flowers_were_very_few_plots_7_and_8_were_combined_in_round_2,_combined_round_2_plot_is_8",1,21,9
37,Bombus_pascuorum,Maintained_roadside,7,6-10%,Trifolium_pratense,15:08,15:28,11/07/14,Fresta,Yes,NA,1,21,9
38,Bombus_spp,Maintained_roadside,7,6-10%,Trifolium_pratense,15:08,15:28,11/07/14,Fresta,Yes,For_reason_given_above_is_a_stand_alone_result,1,21,9
